,name,type,value,date
0,恒宝股份,1,0.9435204369782734,2020-01-02
1,数知科技,2,0.7631624533864215,2020-01-02
2,聚龙股份,3,0.8584417263647487,2020-01-02
3,梦网集团,4,0.1447466641586873,2020-01-02
4,昆仑万维,5,0.5811887770927592,2020-01-02
5,科蓝软件,6,0.8654362905352087,2020-01-02
6,金固股份,7,0.8502061851560206,2020-01-02
7,金冠股份,8,0.6734721219509774,2020-01-02
8,金财互联,9,0.7243730595592397,2020-01-02
9,紫光国微,10,0.5017837240357661,2020-01-02
10,中科创达,11,0.7060695560198851,2020-01-02
11,信息发展,12,0.6785207904144268,2020-01-02
12,海联金汇,13,0.8654409233515891,2020-01-02
13,飞天诚信,14,0.7133766593607054,2020-01-02
14,赢时胜,15,0.8957005086043494,2020-01-02
15,科达股份,16,0.6393352991838566,2020-01-02
16,汉威科技,17,0.4604670173446423,2020-01-02
17,朗科科技,18,0.8435470719323013,2020-01-02
18,华媒控股,19,0.8362261491342737,2020-01-02
19,海峡创新,20,0.4540870996921137,2020-01-02
20,*ST联络,21,0.788968593726553,2020-01-02
21,二三四五,22,0.8279008872915525,2020-01-02
22,众应互联,23,0.8477109443125421,2020-01-02
23,新晨科技,24,0.8994641463906633,2020-01-02
24,广电运通,25,0.6836969071621412,2020-01-02
25,数字认证,26,0.8045196091796224,2020-01-02
26,奥马电器,27,0.5319458227534505,2020-01-02
27,智度股份,28,0.8423455690313661,2020-01-02
28,华力创通,29,0.5880128301010672,2020-01-02
29,广东骏亚,30,0.8762317787355166,2020-01-02
30,恒宝股份,1,0.9355074575769129,2020-01-03
31,数知科技,2,0.702033234068266,2020-01-03
32,聚龙股份,3,0.859024342283021,2020-01-03
33,梦网集团,4,0.1522549715467951,2020-01-03
34,昆仑万维,5,0.5915072649510639,2020-01-03
35,科蓝软件,6,0.8575984910254609,2020-01-03
36,金固股份,7,0.8624013189217372,2020-01-03
37,金冠股份,8,0.6827649015150362,2020-01-03
38,金财互联,9,0.6921720617271834,2020-01-03
39,紫光国微,10,0.4965890856230785,2020-01-03
40,中科创达,11,0.6931465693613095,2020-01-03
41,信息发展,12,0.7056282296314058,2020-01-03
42,海联金汇,13,0.8734187051499349,2020-01-03
43,飞天诚信,14,0.6803802150668222,2020-01-03
44,赢时胜,15,0.8817152563260611,2020-01-03
45,科达股份,16,0.6700668690761856,2020-01-03
46,汉威科技,17,0.4127968480967396,2020-01-03
47,朗科科技,18,0.8161365482706443,2020-01-03
48,华媒控股,19,0.8548365657169572,2020-01-03
49,海峡创新,20,0.3951623156805493,2020-01-03
50,*ST联络,21,0.8326556422391771,2020-01-03
51,二三四五,22,0.8336928701647484,2020-01-03
52,众应互联,23,0.8437120217505151,2020-01-03
53,新晨科技,24,0.901086747551243,2020-01-03
54,广电运通,25,0.6731478429267083,2020-01-03
55,数字认证,26,0.8145855471314631,2020-01-03
56,奥马电器,27,0.5369364321291189,2020-01-03
